Name,Link,Rating,Enroll,Instructor,Time,Level,skillrequirement,SkillWillLearn,Description,SkillGain,Subject,Organization,Price,Subtitle,Knowledge,Tool,Framework,Platform,ProgramingLanguage,Practice Task,webname,weburl,NeedKnowledge,NeedPlatform,NeedFramework,NeedProgrammingLanguage,NeedTool
Create Websites and Hybrid APPs with Google Material Design,https://www.udemy.com/course/create-material-designed-websites-and-hybrid-apps/,3.9,195,QScutter Tutorials,3 hours on-demand video,,HTML. CSS,Design Websites using Material Design Lite. Design Cordova APPs using Material Design Lite.,"Material Design is a design language introduced by Google to unify user experience across all their products on any platform. Material Design is one of those many other types of designing languages like Flat Design, Metro Design, Realism Design etc. Material Design does differ to other types in terms of colors, typography, shapes, patterns and layout. But Material Design adds something very new to design language i.e, Motion and Stacking. Google encourages developers to use Material Design to design their websites and apps because it let's you create a visual language that synthesizes classic principles of good design with the innovation. In this course you will learn to design websites and hybrid apps using Material Design from scratch. We will create a portfolio site with multiple pages. Then we will learn designing hybrid apps using Material design by deploying the same site on Cordova container. Let's get started. Design Websites using Material Design Lite. Design Cordova APPs using Material Design Lite.",,Material Design,,13.99,English,,material design,cordova,,,"design their websites, metro design, design cordova apps, create a portfolio site , realism design, flat design, design websites",udemy,www.udemy.com,,,,,
"Web Development: HTML, CSS, & JavaScript for Coding Sites",https://www.udemy.com/course/web-development-html-css-and-javascript-for-coding-sites/,3.7,868,Asem Hamid,2.5 hours on-demand video,,"You can join with zero knowledge about web development, and end up with a full understanding of web development. All you need is a text editor, like notepad or wordpad or microsoft word, really simple","Know HTML5, CSS, Javascript by heart. Make web pages in no time, right on the spot. Learn how to make full websites in a few hours. Understand what web development is, and what the differences are between different terms. Know a lot of tricks and secrets about html5, css, javascript. Know how to make dynamic websites with slides, and motions of elements. Know how to create html code via javascript. Get assistance to become a freelancer and find jobs and make money.","This course is dedicated to teach you HTML, CSS and JAVASCRIPT. They work together combined to give a dynamic website page. I will teach you from scratch to pro, until you know it all by heart, and you will practice with me while watching the videos, this is how you will remember it all eventually. I will repeat over and over, until there are no questions left, and i will dedicate a class to help you find a job and become a freelancer. Once you start working and making websites, you will see that there is a lot of revenue in the web development field, and you will come back for an advanced course and a php course. Know HTML5, CSS, Javascript by heart. Make web pages in no time, right on the spot. Learn how to make full websites in a few hours. Understand what web development is, and what the differences are between different terms. Know a lot of tricks and secrets about html5, css, javascript. Know how to make dynamic websites with slides, and motions of elements. Know how to create html code via javascript. Get assistance to become a freelancer and find jobs and make money.",,Web Development,,13.99,English,"web development, dynamic website",,,,"javascript, css, html, html5, php "," create html code via javascript, make full websites, dynamic websites, make dynamic websites",udemy,www.udemy.com,WEB DEVELOPMENT,WEB DEVELOPMENT,,,"WORD,WEB DEVELOPMENT"
Build a photo web app using Instagram API in Node.js,https://www.udemy.com/course/photo-webapp-instagramapi/,3.1,536,Arash Yahya,1 hour on-demand video,,Basic Javascript. Basic HTML/CSS,Learn using an API. Build basic websites.,"Last updated:/4/2015. This course is a basic course that will teach basic nodejs capabilities like using an API and using one of nodejs finest templates which is EJS. The course is aim at beginner students who still struggling to get the basic of nodejs and as well as understanding the true power of nodejs. Nodejs is different from other programming languages because of its power of non-blocking. In this course we will be building a basic photo application, and we are not going to build it from scratch, we are going to use Instagram API. Basic requirements: HTML/CSS. Javascript. You are going to learn all of these technologies by doing. This course is really simple compare to my other course. Learn using an API. Build basic websites.",,Web Development,,13.99,English,api,,ejs,"instagram api, nodejs","html, javascript, css","build basic websites, building a basic photo application",udemy,www.udemy.com,,,,JAVASCRIPT,
Free Web Development Tutorial - Learn How to Create a Successful Website for Your Brand,https://www.udemy.com/course/learn-how-to-create-a-successful-website-for-your-brand/,4.0,7,David Di Franco,32min,,,,"Over 1000 students already enrolled! Summary. This-lesson course, divided into two sub-courses, details the steps required to create a successful website for your brand. From discovering your niche to marketing it via social media, students can expect to learn everything in less than an hour. Each video lesson is5 minutes long, allowing for convenient back-to-back viewing. For more information on this course, please feel free to contact the Brand Rockt team. External URLs are not allowed in this course summary, but you can Google ""Brand Rockt contact"" for details. Course #1. Find Your Niche. Purchase Web Hosting. Install WordPress. Select a WordPress Theme. Create Your Content. Course #2. Review Your Content for Errors. Create an Email List. Set Up Google Analytics. Create Your Social Media Accounts. Launch and Promote. Bonus Lesson. A bonus lesson, found at the end of either course, offers students the opportunity to promote their website on Brand Rockt for completely free. nan",,Business Analytics & Intelligence,,0.0,English,,,,"google analytics, wordpress",,"create an email list, create your content, find your niche, launch and promote, create your social media accounts, install wordpress, create a successful website, purchase web hosting",udemy,www.udemy.com,,,,,
Develop Android and iphone apps without coding,https://www.udemy.com/course/create-apps-for-android-and-iphone-without-coding/,4.4,14,DoEdu IT Educations,2.5 hours on-demand video,,no pre-requisite. no programming knowledge required,create apps for android. create apps for iphone and ipad.,"Content will be added once in a week, so who enrolled this course earlier will be getting this content without paying any extra once uploaded as this course once enrolled will be in their library forever. This course will teach you how to develop android, iPhone and iPad apps with zero programming experience. This course teaches you by building several apps live using several portals available, By the end of the course you will be able to create your own apps for both android and iphone without any programming or coding so lets get started. create apps for android. create apps for iphone and ipad.",,Mobile Development,,13.99,English,,,,,,"develop android, iphone and ipad apps, create your own apps, create apps for iphone and ipad, uilding several apps live, create apps for android",udemy,www.udemy.com,PROGRAMMING,,,,
"Free Android Development Tutorial - Android Processes, Threads Slidenerd Style",https://www.udemy.com/course/master-android-zero-to-hero/,4.1,47,Vivek Ramesh,4hr 41min,,,,"Theprimary ways of running an operation in the background in Android is using Threads, Handlers and Services. Though Threads and Handlers are primitive and involve boilerplate code, a more sophisticated way to manage background processing such as loading of images, performing complex computations, downloading Network data is with the help of an AsyncTask, This course covers the following items. Processes in android, their architecture, operation. Threads in android and why you can't use them. Handlers and how they are superior to threads. AsyncTask and how its clean and modular. Handling AsyncTask lifecycle based on activity or fragment destruction. XML Parsing APIs. DOM API and a BlogReader app based on this API. nan",,Mobile Development,,0.0,English,"apis, dom api",android,,,xml,"handling asynctask lifecycle, manage background processing",udemy,www.udemy.com,,,,,
Be a Web Application Penetration Tester from Scratch,https://www.udemy.com/course/be-a-web-application-penetration-tester-from-scratch/,4.2,673,Igneus Technologies,5 hours on-demand video,,No Coding required. basic knowledge of Website related Ternimologies. Kali Linux (available for free). Virtual Player / Virtual Box,Perform a penetration test over web applications. Every insights of pentesting as an Industry Standards. Write a formal pentesting report. Earn by hunting Bugs in Web applications. Helpful in students pursuing Master or Ph. D Degree in Information Security.,"Do you know that web application pentesters are earning0's of dollars by submitting bugs to various reputed websites. Now there is a legal way by which you can report bugs and vulnerability to websites and in return you can get reward money. What is this course about? This is an ideal course to learn penetration testing from scratch. This course requires no coding skills yet you will be able to perform and create great reports on pentesting for clients. Pentesting is second highest paid job with lots of empty space according to Forbes. Everyone is learning to create, someone has to take the responsibility to secure that creation. Penetration testing is a step by step procedure to test an application for various security flaws. These flaws can compromise a website at various levels like database leak, client information leak or may involve monetary leak too. A lot of new pentester learn a few slings to hack the application but approaching client in a formal way, doing a procedural pentest and documenting a report is a different game. In this course you will learn about all types of vulnerabilities, exploitation of web application, impact of flaws and finally we will cover the steps to write a report. Traditional companies rely on Firewalls and network security. Attack vectors based on web application will not trigger alarm for it. Specially the new application that are based on CMS like wordpress are getting hacked often. A whole lot ground is covered in this course. Updates in this course. You might notice a few small topics being missed out. Web security is a big monster, that is why we have decided to roll out the course and in the mean while we will be updating the course on monthly basis. There will be no charge for extra lecture added but course prize may increase at latter stage. No coding experience, No Prior Knowledge; Just start your journey as WEB APPLICATION PENTESTER. Perform a penetration test over web applications. Every insights of pentesting as an Industry Standards. Write a formal pentesting report. Earn by hunting Bugs in Web applications. Helpful in students pursuing Master or Ph. D Degree in Information Security.",,Network & Security,,14.99,English,"penetration testing, information security, web applications, cms , web application, network security, web security",firewalls,,"wordpress , web application",,"perform a penetration test, test an application, create great reports on pentesting, write a report, earn by hunting bugs, write a formal pentesting report",udemy,www.udemy.com,,LINUX,LINUX,,LINUX
Free WordPress Tutorial - Learn how to quickly build websites using Wordpress,https://www.udemy.com/course/learn-how-to-quickly-build-websites-using-wordpress/,4.7,35,Chris du Toit,3hr 42min,,,,"If you've ever wanted to build your own website WITHOUT being a programmer, this is the perfect course for you! It will take you from complete Newbie to being proficient with building professional quality websites, all in less time than you thought possible. All topics are explained in a easy, non technical manner. I will walk you through everything, from registering a domain name, how to get hosting, installing Wordpress and learning how to build websites. All you need to do is follow along with the videos. The course consists of clear video lectures and will move you from Newbie to Expert. It is suggested that you follow along by doing as I do, and in the process you will be building a website and learning a valuable new skill. Learning how to build a website is a critical skill in today's economy, and by utilizing Wordpress you can do this without programming. If you have basic computer familiarity like using Word or Powerpoint, you'll be building websites in no time at all. I look forward to being by your side as you start this new adventure. nan",,Web Development,,0.0,English,domain name,"word, powerpoint",,wordpress,,"build websites, build your own website, building a website, build a website, get hosting, building professional quality websites, installing wordpress, hosting",udemy,www.udemy.com,,,,,
Website Performance Complete Training,https://www.udemy.com/course/website-performance-complete-training/,3.8,0,QScutter Tutorials,1 hour on-demand video,,Browser. Text Editor. Internet,Bandwidth Optimization. Render Optimization. Memory Optimization.,"You will learn how to optimize any website for speed by diving into the details of how mobile and desktop browsers render pages. In this short course, you�ll learn about the Critical Rendering Path, or the set of steps browsers must take to convert HTML, CSS and JavaScript into living, breathing websites. From there, you�ll start exploring and experimenting with tools to measure performance and simple strategies to deliver the first pixels to the screen as early as possible. You�ll explore easy HTML, CSS and JavaScript optimizations with significant performance implications, some of which are as simple as adding a single attribute to an HTML tag! Along the way, you�ll be developing the skills to help you diagnose opportunities for optimizations, including: With the rise of mobile networks and devices, website performance is now absolutely critical to building good websites and web applications. Kyle dives deep into everything web performance from resource loading, to thread, animations, JSON, minification, image optimization and more! Bandwidth Optimization. Render Optimization. Memory Optimization.",,Web Development,,13.99,English,"website performance, critical rendering path, web performance, json",,,,"html, javascript, css","optimize any website, memory optimization, bandwidth optimization, building good websites,  measure performance, render optimization",udemy,www.udemy.com,,,,,
How to Build a Website for your Business using Wordpress,https://www.udemy.com/course/how-to-build-a-website-for-your-business-using-wordpress/,4.0,2,Launch U Hosting,2.5 hours on-demand video,,"Absolutely no website development, design, or Wordpress skills are necessary to take this course","Install Wordpress. Build a customized website for their business using Wordpress. Add features such as contact forms, subscription lists, image galleries, videos, etc. Sell products directly through their website. Make cosmetic edits to their site whenever they choose.","This course is designed for small business owners with little to no experience with building websites. During this course you will learn the steps required to create and customize a website from scratch using Wordpress. During the course you will work along with me as I, install Worpdres, setup a template for my website, add features to my website, add products to sell on my website. At the end of this course you will have a website that has been tailored for your business, and the skills to build as many new websites as you want in the future. If you would like to get your business online but don't have the budget to hire a professional web design agency, then this course is right for you. Install Wordpress. Build a customized website for their business using Wordpress. Add features such as contact forms, subscription lists, image galleries, videos, etc. Sell products directly through their website. Make cosmetic edits to their site whenever they choose.",,Other IT & Software,,13.99,English,web design,,,wordpress,,"install worpdres, add features, add products to sell, build a customized website, building websites, create and customize a website, install wordpress, make cosmetic edits, setup a template",udemy,www.udemy.com,,WORDPRESS,,WORDPRESS,
