companyName,location,timePost,website,jobType,jobCount,Knowledge,Platform,Framework,ProgrammingLanguage,Tool,date,month,year
Dutech Systems,Texas,2024-01-14,Indeed,Database Administrator,1,"AGILE,DATABASE,DBMS,DATA MODELING,SECURITY,DATA ANALYSIS,DATABASES,WEB SERVICES,APPLICATION DEVELOPMENT,FUNCTIONS,BUSINESS,DATA INTEGRITY,MODELING,DATA SECURITY,SQL,DATA MODELS,TESTING,FUNCTIONAL,PERFORMANCE,DATABASE ADMINISTRATION,ANALYSIS,SOFTWARE","LINUX,JQUERY,SPRING,DATA ANALYSIS","ANGULARJS,JQUERY,SPRING,ORACLE DATABASE,SQL DEVELOPER,LINUX,DATA ANALYSIS,REQUESTS,DATABASE,DBMS,POSTGRESQL,ORACLE DATABASES","SQL,ANGULARJS","ORACLE DATABASE,POSTGRESQL,ORACLE,LINUX,JQUERY,DATABASE,SECURITY,MONITORING,SQL,DATA ANALYSIS,AGILE,AGILE DEVELOPMENT,DATA MODELING,PERFORMANCE TUNING,DATABASES,TABLESPACE,PERFORMANCE,DBMS,DATA SECURITY,TESTING,ANALYSIS",14,1,2024
Dynamics CRM Recruiting Solutions,Remote,2024-01-14,Indeed,Software Architect,1,,,,,,14,1,2024
ECPI University,"Virginia Beach, VA 23462 (Kempsville area)",2024-01-14,Indeed,Database Administrator,1,"DATABASE,OPTIMIZATION TECHNIQUES,BACKUP,RECOVERY,SECURITY,SOLID,DATABASES,AUTHENTICATION,COMPUTER SCIENCE,BUSINESS,DATA INTEGRITY,SQL,INTEGRATION,TROUBLESHOOTING,PERFORMANCE,DATABASE SYSTEMS,DATA-RELATED,TRANSFORM,ETL,DATA MANAGEMENT,DATABASE MANAGEMENT SYSTEM,SOFTWARE",,"MICROSOFT SQL SERVER,SSIS,SQL SERVER,DATABASE,SQL SERVER INTEGRATION SERVICES,SQL SERVER INTEGRATION SERVICES (SSIS)",SQL,"MICROSOFT SQL SERVER,SSIS,SQL SERVER,DATABASE,SECURITY,ETL,RECOVERY,BACKUP,SQL,SOLID,TRANSFORM,MAINTENANCE,DATABASE MANAGEMENT,DATABASES,QUERY OPTIMIZATION,MONITOR,BACKUP AND RECOVERY,PERFORMANCE,DATA MANAGEMENT,DATABASE SYSTEMS,AUDITING,AUTHENTICATION,DATA CLEANSING",14,1,2024
ECi Software Solutions,"Remote in Dallas, TX",2024-01-14,Indeed,Software Architect,1,"AGILE,DESIGN PATTERNS,SCRUM,SECURITY,REPORTING,MICROSERVICES,SOFTWARE DEVELOPMENT LIFE CYCLE,PAAS,JSON,MOBILE APP,INTERNET,SOFTWARE ARCHITECTURE,WEB SERVICES,XML,BUSINESS,FACTORS,COMPLIANCE,SQL,SOFTWARE DEVELOPMENT,TESTING,PERFORMANCE,APP DEVELOPMENT,SOFTWARE","AWS,AZURE,GOOGLE CLOUD,ANDROID,IOS,WINDOWS,CLOUD,MICROSOFT AZURE,GOOGLE",".NET,SQL SERVER,ELASTICSEARCH","SQL,PYTHON,JSON,XML,AWS,DOCKER,AZURE,GOOGLE CLOUD,IAAS,PAAS,ELASTICSEARCH,MICROSOFT AZURE","SQL SERVER,REDIS,DOCKER,ELASTICSEARCH,ANDROID,WINDOWS,APP DEVELOPMENT,MICROSERVICES,SOFTWARE DEVELOPMENT,DESIGN PATTERNS,SECURITY,SQL,IOS,SCRUM,AGILE,SOFTWARE DEVELOPMENT LIFE CYCLE,REPORTING,SOFTWARE ARCHITECTURE,AGILE DEVELOPMENT,MONITOR,PERFORMANCE,SOAP,COMPLIANCE,TESTING,CLOUD",14,1,2024
EGB Systems & Solutions,"Stamford, CT",2024-01-14,Indeed,Web Development,1,"WEB APPLICATION,WEB APPLICATION DEVELOPMENT,WEB APPLICATIONS,APPLICATION DEVELOPMENT,SQL",WEB APPLICATION,SQL SERVER,"SQL,HTML","SQL SERVER,SQL,MAINTENANCE",14,1,2024
EQuest Education Group (EQG),Hà Nội,2024-01-07,CareerBuilder,Business Analyst,1,"BUSINESS,COMPLIANCE,ANALYSIS,FINANCE",,EXCEL,,"EXCEL,POWERPOINT,MONITORING,AUDITING,COMPLIANCE,ANALYSIS",7,1,2024
EUROFINS VIETNAM,Hồ Chí Minh,2024-01-02,CareerBuilder,Business Analyst,1,"BI,COMPUTER SCIENCE,TESTING,ENGLISH",,POWER BI,,"POWER BI,BI,ENGLISH,PROJECT MANAGEMENT,TESTING",2,1,2024
EX2 Outcoding,Remote,2024-01-14,Indeed,Backend Developer,2,"WEB DEVELOPMENT,PROGRAMMING,DEVELOPMENT PROCESS,CMS,PHP,COMPUTER SCIENCE,BUSINESS,SOFTWARE DEVELOPMENT,FUNCTIONAL,SOFTWARE,WEB APPLICATION,COMPUTER SCIENCE,BUSINESS,STACKS,SOFTWARE DEVELOPMENT,PERFORMANCE,SOFTWARE","WEB DEVELOPMENT,NODEJS,WEB APPLICATION,NODE.JS",".NET,","PYTHON,JAVA,PHP,JAVASCRIPT,HTML,RUBY,JAVASCRIPT,HTML5,CSS3,NODE.JS,JS","SOFTWARE DEVELOPMENT,WEB DEVELOPMENT,SEARCHING,NODE.JS,SOFTWARE DEVELOPMENT,DATA STORAGE,PERFORMANCE,STORAGE,SEARCHING",14,1,2024
EX2 Outcoding,Remote,2024-01-14,Indeed,Database Administrator,1,"DATABASE,DATABASE DESIGN,BACKUP,RECOVERY,SECURITY,API,PROGRAMMING,BUSINESS,SQL,DATA STRUCTURE,SOFTWARE DEVELOPMENT,SOFTWARE",API,DATABASE,SQL,"SOFTWARE DEVELOPMENT,API,DATABASE,SECURITY,RECOVERY,BACKUP,SQL,DATABASE DESIGN,SEARCHING,DATA STRUCTURE",14,1,2024
EX2 Outcoding,Remote,2024-01-14,Indeed,Mobile Developer,3,"SOLID,APIS,MOBILE APPLICATIONS,USER INTERFACE,COMPUTER SCIENCE,BUSINESS,SOFTWARE DEVELOPMENT,TESTING,SOFTWARE,OOP,APIS,PROGRAMMING,MOBILE APPLICATIONS,COMPUTER SCIENCE,BUSINESS,SOFTWARE DEVELOPMENT,FUNCTIONAL,SOFTWARE,AGILE,SOFTWARE DEVELOPMENT LIFE CYCLE,DATABASES,MOBILE APPLICATIONS,COMPUTER SCIENCE,XML,STATISTICS,BUSINESS,STACKS,SOFTWARE DEVELOPMENT,WEB SERVERS,SOFTWARE","REACT,ANDROID,REACT,MYSQL","REACT,GIT,FLUTTER,REACT,ANGULAR,MYSQL","JS,FLUTTER,XAMARIN,APP STORE,JAVA,C#,JAVASCRIPT,CSS,XML,MYSQL","GIT,SOFTWARE DEVELOPMENT,SOLID,APIS,TESTING,SEARCHING,ANDROID,SOFTWARE DEVELOPMENT,OOP,APIS,SEARCHING,MYSQL,SOFTWARE DEVELOPMENT,STATISTICS,AGILE,SOFTWARE DEVELOPMENT LIFE CYCLE,DATABASES,STACK,SEARCHING",14,1,2024
